tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037402902,75119,1780,Low Income,Yes,Yes,Yes,District 1,City of Pomona,SPA 3 - San Gabriel,6078,19841932.1738281,20582.3830242294
06037402903,61285,999,Very Low Income,Yes,Yes,Yes,District 1,City of Pomona,SPA 3 - San Gabriel,6079,17098139.4443359,16949.880438606
06037402904,86974,900,Low Income,Yes,No,Yes,District 1,City of Pomona,SPA 3 - San Gabriel,6080,20545177.4394531,20768.1525402469
06037403000,95403,1587,Low Income,Yes,No,Yes,District 1,City of Pomona,SPA 3 - San Gabriel,6081,25935118.1005859,25674.6541635692
06037403305,124432,705,Above Moderate Income,No,No,No,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6082,15852928.9345703,16169.6051387204
06037403316,92926,2654,Low Income,Yes,No,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6083,31227870.4306641,28407.3514121099
06037403317,112697,1706,Moderate Income,No,No,Yes,District 1,City of Pomona,SPA 3 - San Gabriel,6084,45249838.1494141,38495.6475436566
06037403318,119620,2141,Above Moderate Income,No,No,No,District 1,City of Pomona,SPA 3 - San Gabriel,6085,36313472.5625,30162.6617900318
06037403319,82554,1641,Low Income,Yes,Yes,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6086,23949384.9863281,19902.260464735
06037403320,156250,1710,Above Moderate Income,No,No,No,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6087,42268290.5175781,28539.8300731752
06037403321,99409,1776,Low Income,No,No,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6088,68491573.2255859,40641.0739226034
06037403323,90306,1779,Low Income,Yes,No,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6089,33794601.7744141,26854.3391626017
06037403324,102025,2138,Low Income,No,No,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6090,85652892.2089844,45729.9764312072
06037403325,115461,1605,Moderate Income,No,No,Yes,District 1,Unincorporated - Rowland Heights,SPA 3 - San Gabriel,6091,184120306.144531,82994.0611182868
06037403326,136875,690,Above Moderate Income,No,No,No,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6092,20893976.2001953,27695.6394669892
06037403327,131563,845,Above Moderate Income,No,No,No,District 1,City of Industry,SPA 3 - San Gabriel,6093,95594101.1523438,58739.2326598686
06037403328,102853,1711,Low Income,No,No,Yes,District 1,City of Diamond Bar,SPA 3 - San Gabriel,6094,30156996.1640625,30930.7010192517
