CT10,TractSNAP,Pop2010
218900.0,396.0,5464.0
220100.0,152.0,2334.0
219700.0,139.0,4306.0
221220.0,178.0,3378.0
219020.0,240.0,4798.0
221110.0,257.0,3565.0
221120.0,188.0,3373.0
221302.0,270.0,4403.0
221500.0,269.0,3507.0
221900.0,124.0,3664.0
221820.0,20.0,3095.0
221810.0,88.0,2773.0
222100.0,158.0,3877.0
222200.0,165.0,3965.0
222600.0,325.0,5631.0
536103.0,270.0,5516.0
533002.0,99.0,2822.0
530801.0,155.0,6325.0
530901.0,79.0,4080.0
531101.0,171.0,5091.0
531201.0,174.0,5335.0
531202.0,108.0,4747.0
533202.0,104.0,2762.0
533502.0,88.0,2143.0
533201.0,83.0,2805.0
533503.0,137.0,1920.0
534804.0,99.0,3878.0
602900.0,208.0,4427.0
602301.0,96.0,6265.0
603704.0,351.0,6348.0
620001.0,25.0,3943.0
600302.0,170.0,3317.0
603703.0,28.0,2703.0
603900.0,309.0,7527.0
603600.0,0.0,4037.0
222500.0,276.0,4963.0
222700.0,4.0,3748.0
224010.0,229.0,2433.0
224020.0,226.0,2789.0
224410.0,142.0,3140.0
224320.0,248.0,3224.0
224310.0,99.0,2025.0
702400.0,63.0,4541.0
702801.0,19.0,5205.0
535804.0,286.0,5498.0
535803.0,169.0,4458.0
535502.0,215.0,4958.0
535701.0,272.0,6050.0
535603.0,213.0,3493.0
535501.0,262.0,3866.0
535503.0,120.0,2497.0
535604.0,243.0,4435.0
535606.0,58.0,1860.0
535902.0,149.0,6519.0
535702.0,285.0,5522.0
535901.0,170.0,5757.0
604100.0,230.0,7058.0
601502.0,176.0,3963.0
603101.0,115.0,4244.0
603102.0,123.0,4084.0
603200.0,61.0,2777.0
603301.0,55.0,3828.0
603302.0,32.0,3804.0
603702.0,22.0,5087.0
224420.0,146.0,2369.0
224600.0,208.0,3425.0
224700.0,27.0,4856.0
226410.0,292.0,3491.0
226420.0,397.0,4906.0
226700.0,545.0,6170.0
227010.0,372.0,4662.0
650102.0,10.0,2248.0
650200.0,53.0,5783.0
650602.0,16.0,7161.0
650502.0,27.0,4294.0
650501.0,9.0,3063.0
269000.0,15.0,5138.0
269500.0,16.0,4043.0
269300.0,22.0,3885.0
269700.0,19.0,4085.0
269800.0,8.0,3458.0
270100.0,45.0,4412.0
702802.0,34.0,2282.0
702502.0,26.0,4048.0
702700.0,11.0,3440.0
702803.0,63.0,2963.0
535802.0,250.0,6814.0
540101.0,228.0,6483.0
536000.0,140.0,3720.0
535605.0,231.0,4153.0
700902.0,13.0,6517.0
700901.0,18.0,3856.0
702501.0,0.0,4625.0
541400.0,451.0,7312.0
650603.0,36.0,3958.0
650702.0,9.0,4590.0
650800.0,105.0,7074.0
650701.0,17.0,2521.0
651221.0,89.0,3291.0
650902.0,62.0,7103.0
651201.0,0.0,5056.0
270200.0,93.0,3761.0
270300.0,23.0,2364.0
271100.0,35.0,2449.0
271600.0,89.0,4475.0
271500.0,9.0,2937.0
271701.0,54.0,5850.0
271801.0,38.0,3635.0
271702.0,56.0,4134.0
703002.0,177.0,6605.0
231300.0,290.0,5348.0
228710.0,238.0,4235.0
228720.0,290.0,4492.0
229100.0,302.0,4557.0
229300.0,377.0,5498.0
229410.0,297.0,3343.0
229420.0,307.0,4729.0
231800.0,442.0,5303.0
231100.0,287.0,3350.0
231900.0,516.0,5968.0
231210.0,346.0,3688.0
231720.0,280.0,4966.0
232400.0,317.0,6957.0
232300.0,237.0,3926.0
232200.0,155.0,3119.0
232110.0,196.0,3191.0
277200.0,74.0,2490.0
291110.0,297.0,3510.0
703001.0,24.0,5889.0
231600.0,388.0,7110.0
291120.0,88.0,2210.0
291130.0,62.0,3582.0
540400.0,180.0,2384.0
535607.0,201.0,4775.0
532700.0,199.0,2990.0
540502.0,492.0,6552.0
540202.0,357.0,6845.0
540501.0,121.0,6943.0
540201.0,137.0,2370.0
532400.0,1.0,112.0
271802.0,138.0,5911.0
272302.0,72.0,4074.0
272301.0,21.0,2941.0
232600.0,390.0,6288.0
232500.0,333.0,4619.0
232800.0,230.0,3823.0
232700.0,411.0,5895.0
234300.0,210.0,4098.0
234700.0,143.0,3888.0
234800.0,121.0,3426.0
235100.0,29.0,4520.0
234600.0,222.0,5024.0
234000.0,204.0,5335.0
235202.0,311.0,4557.0
235201.0,165.0,2781.0
703100.0,164.0,5446.0
703200.0,73.0,5629.0
620002.0,56.0,3609.0
533107.0,228.0,3645.0
532500.0,238.0,4078.0
534404.0,217.0,3647.0
533401.0,238.0,5004.0
534900.0,240.0,6569.0
542502.0,294.0,4284.0
570303.0,300.0,4247.0
570402.0,89.0,3496.0
570301.0,606.0,7330.0
570304.0,322.0,5171.0
620102.0,0.0,3617.0
293301.0,0.0,2805.0
541606.0,110.0,2506.0
602106.0,143.0,5702.0
602002.0,62.0,3195.0
603001.0,135.0,7139.0
602404.0,184.0,5863.0
602403.0,205.0,5230.0
600703.0,34.0,1914.0
602402.0,104.0,6769.0
600602.0,168.0,2551.0
601303.0,388.0,4879.0
236000.0,117.0,4113.0
236100.0,691.0,5265.0
237300.0,323.0,5262.0
237500.0,272.0,2675.0
237600.0,286.0,4259.0
237720.0,279.0,3153.0
237800.0,196.0,4371.0
237710.0,299.0,3887.0
237900.0,165.0,3621.0
239330.0,216.0,2879.0
239310.0,221.0,3996.0
239320.0,173.0,3444.0
238310.0,366.0,4821.0
238100.0,244.0,4626.0
533203.0,119.0,1827.0
534301.0,251.0,4636.0
534403.0,139.0,2948.0
534700.0,90.0,4283.0
542402.0,106.0,3152.0
543100.0,261.0,6759.0
572500.0,348.0,3365.0
571502.0,154.0,4661.0
209402.0,262.0,3728.0
701000.0,24.0,5431.0
620101.0,173.0,5426.0
620201.0,0.0,1530.0
275603.0,24.0,2711.0
275500.0,357.0,5207.0
275102.0,169.0,4226.0
272201.0,58.0,2411.0
271902.0,23.0,3877.0
271901.0,26.0,3087.0
269905.0,42.0,2423.0
269904.0,64.0,3902.0
224200.0,179.0,2392.0
221210.0,113.0,3300.0
540300.0,200.0,5267.0
540203.0,258.0,5594.0
541002.0,82.0,3209.0
600911.0,80.0,3349.0
601202.0,177.0,4115.0
600802.0,36.0,2597.0
601301.0,83.0,1915.0
601001.0,123.0,2154.0
601302.0,571.0,6856.0
600704.0,92.0,2971.0
600912.0,183.0,5517.0
238320.0,422.0,3787.0
534501.0,213.0,5201.0
204920.0,116.0,2598.0
206050.0,195.0,2146.0
543601.0,67.0,3910.0
532900.0,512.0,6681.0
533103.0,261.0,3577.0
535102.0,250.0,4517.0
535200.0,295.0,5820.0
535400.0,190.0,3495.0
208903.0,238.0,4019.0
209102.0,441.0,5267.0
209300.0,311.0,5021.0
208904.0,257.0,3926.0
209401.0,322.0,3914.0
209200.0,168.0,2785.0
209403.0,274.0,3600.0
209510.0,176.0,2692.0
209520.0,149.0,2791.0
209810.0,163.0,2472.0
209820.0,123.0,2968.0
210010.0,228.0,3520.0
269903.0,46.0,3650.0
