Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
1602,"191410",7854.11000000000,43.15445054950,"06037191410",16915.52334420000,282,200964.75000000000,-313874.53100000002,25.98800000000,64.37500000000,16915.50000000000,
1603,"191420",7595.08000000000,41.73120879120,"06037191420",15051.13219580000,283,200977.57800000001,-314271.28100000002,25.99300000000,64.24300000000,15051.10000000000,
1604,"191500",7390.07000000000,40.60478021980,"06037191500",8978.20082708000,284,200250.34400000001,-314058.18800000002,25.75000000000,64.31400000000,8978.20000000000,
1605,"191610",6923.64000000000,38.04197802200,"06037191610",11382.70283270000,285,199352.56299999999,-314178.75000000000,25.45100000000,64.27400000000,11382.70000000000,
1606,"191620",7193.09000000000,39.52247252750,"06037191620",12915.92436260000,286,199639.53099999999,-313930.50000000000,25.54700000000,64.35600000000,12915.90000000000,
1607,"191710",6667.41000000000,36.63412087910,"06037191710",4841.00591908000,287,198352.73400000000,-314192.25000000000,25.11800000000,64.26900000000,4841.00000000000,
1608,"191720",6955.05000000000,38.21456043960,"06037191720",14353.33651930000,288,198763.51600000000,-313932.00000000000,25.25500000000,64.35600000000,14353.30000000000,
1609,"191810",6614.17000000000,36.34159340660,"06037191810",9136.68180613000,289,197368.25000000000,-313955.09399999998,24.78900000000,64.34800000000,9136.70000000000,
1610,"191820",6312.77000000000,34.68554945050,"06037191820",6706.72840358000,290,197379.40599999999,-314351.50000000000,24.79300000000,64.21600000000,6706.70000000000,
1611,"191901",6572.40000000000,36.11208791210,"06037191901",4425.13310527000,291,196390.25000000000,-313787.84399999998,24.46300000000,64.40400000000,4425.10000000000,
1612,"191902",5954.43000000000,32.71664835160,"06037191902",4189.06886044000,292,196373.85900000000,-314544.84399999998,24.45800000000,64.15200000000,4189.10000000000,
1613,"192001",6081.51000000000,33.41489010990,"06037192001",4839.59189745000,293,195599.25000000000,-314406.56300000002,24.20000000000,64.19800000000,4839.60000000000,
1614,"192002",5903.30000000000,32.43571428570,"06037192002",3156.35743321000,294,194874.56299999999,-314610.18800000002,23.95800000000,64.13000000000,3156.40000000000,
1615,"192300",5859.11000000000,32.19291208790,"06037192300",3438.36185188000,295,197325.10900000000,-314957.87500000000,24.77500000000,64.01400000000,3438.40000000000,
1616,"192410",6135.30000000000,33.71043956040,"06037192410",5542.09094923000,296,198268.14100000000,-314920.68800000002,25.08900000000,64.02600000000,5542.10000000000,
1617,"192420",6317.69000000000,34.71258241760,"06037192420",11549.73594960000,297,198883.26600000000,-314901.18800000002,25.29400000000,64.03300000000,11549.70000000000,
1618,"192510",6437.28000000000,35.36967032970,"06037192510",11588.35690960000,298,199290.32800000001,-314892.06300000002,25.43000000000,64.03600000000,11588.40000000000,
1619,"192520",6592.77000000000,36.22401098900,"06037192520",16727.97337360000,299,199685.40599999999,-314875.34399999998,25.56200000000,64.04200000000,16728.00000000000,
1620,"192610",6966.98000000000,38.28010989010,"06037192610",10896.62879960000,300,200257.26600000000,-314702.46899999998,25.75200000000,64.09900000000,10896.60000000000,
1621,"192620",6724.26000000000,36.94648351650,"06037192620",16500.03948410000,301,200276.23400000000,-315106.18800000002,25.75900000000,63.96500000000,16500.00000000000,
1622,"192700",7238.84000000000,39.77384615380,"06037192700",7088.14528285000,302,200991.89100000000,-314828.75000000000,25.99700000000,64.05700000000,7088.10000000000,
1627,"194401",6030.69000000000,33.13565934070,"06037194401",5228.73064800000,307,194058.10900000000,-314502.68800000002,23.68600000000,64.16600000000,5228.70000000000,
1628,"194402",6112.55000000000,33.58543956040,"06037194402",5794.76471925000,308,193361.04699999999,-314477.28100000002,23.45400000000,64.17400000000,5794.80000000000,
1629,"194500",5250.82000000000,28.85065934070,"06037194500",3040.91272127000,309,193594.40599999999,-315230.56300000002,23.53100000000,63.92300000000,3040.90000000000,
1630,"195100",10205.90000000000,56.07637362640,"06037195100",2597.21884906000,310,202862.40599999999,-312501.87500000000,26.62100000000,64.83300000000,2597.20000000000,
1631,"195201",10862.70000000000,59.68516483520,"06037195201",5020.01494606000,311,201775.89100000000,-311668.78100000002,26.25900000000,65.11000000000,5020.00000000000,
1632,"195202",10019.80000000000,55.05384615380,"06037195202",3735.36487326000,312,201792.10900000000,-312301.87500000000,26.26400000000,64.89900000000,3735.40000000000,
1633,"195300",9291.91000000000,51.05445054950,"06037195300",5750.38242639000,313,201335.42199999999,-312718.12500000000,26.11200000000,64.76100000000,5750.40000000000,
1634,"195400",8714.04000000000,47.87934065930,"06037195400",4459.56429938000,314,202232.62500000000,-313518.56300000002,26.41100000000,64.49400000000,4459.60000000000,
1635,"195500",8951.16000000000,49.18219780220,"06037195500",4240.92673946000,315,203098.32800000001,-313878.78100000002,26.69900000000,64.37400000000,4240.90000000000,
1636,"195600",8392.83000000000,46.11445054950,"06037195600",6619.98753706000,316,203039.17199999999,-314684.15600000002,26.68000000000,64.10500000000,6620.00000000000,
1637,"195710",7823.43000000000,42.98587912090,"06037195710",9200.69868922000,317,202780.25000000000,-315357.93800000002,26.59300000000,63.88100000000,9200.70000000000,
1638,"195720",8044.18000000000,44.19879120880,"06037195720",8509.67338116000,318,203258.03099999999,-315449.75000000000,26.75300000000,63.85000000000,8509.70000000000,
1639,"195802",7433.03000000000,40.84082417580,"06037195802",7426.24206785000,319,201948.14100000000,-315276.96899999998,26.31600000000,63.90800000000,7426.20000000000,
