tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037602202,81429.0,1008,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6950,4955122.67089844,9580.40845983712
6037602301,128221.0,1987,Above Moderate Income,No,No,No,District 2,Unincorporated - Wiseburn,SPA 8 - South Bay,6951,19163723.9160156,19200.4013189939
6037602302,172097.0,1856,Above Moderate Income,No,No,No,District 2,City of Hawthorne,SPA 8 - South Bay,6952,21009975.5751953,22619.847004602
6037602402,108368.0,2070,Low Income,No,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6953,14116815.5957031,17027.5226129076
6037602403,76286.0,1544,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6954,6321159.53808594,10061.2955455668
6037602404,67736.0,1857,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6955,6950852.01367188,11175.3980036597
6037602504,59634.0,1820,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6956,3455759.32128906,7905.25418604559
6037602505,67257.0,1616,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6957,3484787.56835938,7912.83507417977
6037602506,60574.0,1743,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6958,3486330.84179688,7897.25429326907
6037602512,69489.0,583,Low Income,Yes,Yes,Yes,District 2,Unincorporated - Hawthorne,SPA 8 - South Bay,6962,3145518.14550781,7641.4634590943
6037602513,65896.0,484,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6963,19444024.9628906,21159.6271808486
6037602601,96607.0,1666,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6964,13982492.7480469,15873.8024251267
6037602602,67174.0,1050,Very Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6965,6988441.27539062,10566.7805820673
6037602700,118710.0,1284,Above Moderate Income,No,No,No,District 2,City of Hawthorne,SPA 8 - South Bay,6966,26741270.9824219,21485.9075411277
6037602801,58810.0,1356,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6967,13492811.5126953,15760.4473966255
